Tract Code,State,County,Latitude,Longitude,Total Cash Rent,Total Cash Rent MG,Less than $100,Less than $100 MG,$100 to $149,$100 to $149 MG,$150 to $199,$150 to $199 MG,$200 to $249,$200 to $249 MG,$250 to $299,$250 to $299 MG,$300 to $349,$300 to $349 MG,$350 to $399,$350 to $399 MG,$400 to $449,$400 to $449 MG,$450 to $499,$450 to $499 MG,$500 to $549,$500 to $549 MG,$550 to $599,$550 to $599 MG,$600 to $649,$600 to $649 MG,$650 to $699,$650 to $699 MG,$700 to $749,$700 to $749 MG,$750 to $799,$750 to $799 MG,$800 to $899,$800 to $899 MG,$900 to $999,$900 to $999 MG,"$1,000 to $1,249","$1,000 to $1,249 MG","$1,250 to $1,499","$1,250 to $1,499 MG","$1,500 to $1,999","$1,500 to $1,999 MG","$2,000 to $2,499","$2,000 to $2,499 MG","$2,500 to $2,999","$2,500 to $2,999 MG","$3,000 to $3,499","$3,000 to $3,499 MG","$3,500 or more","$3,500 or more MG",No Cash Rent,No Cash Rent MG
1102,Florida,Leon County,30.404253,-84.293308,361,139,0,15,0,15,0,15,0,15,0,15,0,15,0,15,10,16,87,94,30,46,35,54,0,15,11,19,19,21,0,15,84,101,33,54,41,40,0,15,11,18,0,15,0,15,0,15,0,15,11,17
1200,Florida,Leon County,30.179304,-85.624452,519,138,24,26,0,15,0,15,0,15,0,15,0,15,0,15,0,15,3,5,0,15,11,18,51,63,33,32,44,46,57,44,28,26,37,36,70,56,65,60,96,81,0,15,0,15,0,15,0,15,13,15
1300,Florida,Leon County,30.35891,-81.659488,6,9,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,6,9,0,21,0,21,0,21,0,21
1401,Florida,Leon County,30.379644,-81.666981,797,156,9,13,0,15,39,41,0,15,0,15,8,12,0,15,43,53,14,24,13,20,0,15,79,61,43,51,72,85,157,94,98,81,57,46,110,87,15,22,40,52,0,15,0,15,0,15,0,15,53,52
1402,Florida,Leon County,30.242407,-85.628433,1955,454,0,21,0,21,23,36,20,32,35,53,20,30,0,21,233,222,48,76,30,47,128,119,55,66,14,23,65,46,61,78,36,42,44,42,398,314,221,167,466,246,28,50,30,47,0,21,0,21,33,60
1500,Florida,Leon County,30.356794,-81.671317,1141,264,0,21,0,21,0,21,0,21,0,21,0,21,0,21,48,63,0,21,0,21,61,96,0,21,7,15,29,46,0,21,242,125,196,135,200,135,149,146,131,113,78,111,0,21,0,21,0,21,0,21
1601,Florida,Leon County,26.556167,-81.862919,1648,230,64,60,0,15,0,15,21,33,29,45,0,15,12,19,67,70,0,15,71,113,0,15,0,15,0,15,0,15,0,15,110,74,103,89,634,188,433,190,67,58,37,58,0,15,0,15,0,15,0,15
1602,Florida,Leon County,26.528326,-81.8622,199,195,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,127,185,0,15,23,38,0,15,20,22,29,41,0,15,0,15,0,15,11,15
1701,Florida,Leon County,29.68247,-82.416227,23,36,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,23,36,0,15,0,15,0,15,0,15,13,21
1702,Florida,Leon County,29.666339,-82.393728,1563,332,0,21,0,21,23,35,0,21,0,21,0,21,0,21,190,257,18,30,0,21,0,21,0,21,14,22,7,13,87,75,60,90,186,116,359,179,463,178,35,40,8,15,101,88,0,21,12,20,17,28
1801,Florida,Leon County,26.563854,-81.904104,402,164,39,47,0,15,0,15,0,15,0,15,0,15,7,13,97,93,12,19,21,35,34,40,0,15,38,42,25,39,9,16,22,27,50,52,48,63,0,15,0,15,0,15,0,15,0,15,0,15,10,11
1803,Florida,Leon County,29.713459,-82.372182,713,113,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,33,55,46,66,0,15,0,15,58,49,235,117,315,89,26,32,0,15,0,15,0,15,0,15
1804,Florida,Leon County,30.391132,-84.26713,1575,254,70,100,13,20,0,21,0,21,9,16,10,17,29,49,128,117,49,77,49,64,0,21,76,76,83,106,104,132,0,21,43,50,99,111,232,159,422,199,159,103,0,21,0,21,0,21,0,21,56,63
1901,Florida,Leon County,30.419805,-84.307628,565,182,0,15,25,35,0,15,0,15,0,15,0,15,0,15,8,13,159,128,7,16,10,17,57,64,28,34,78,66,60,68,12,17,58,54,30,28,17,20,16,18,0,15,0,15,0,15,0,15,0,15
1902,Florida,Leon County,29.686591,-82.295305,1088,356,0,15,0,15,7,11,57,63,0,15,0,15,108,132,0,15,0,15,107,164,0,15,52,87,47,74,110,95,112,176,155,103,45,44,144,101,41,54,74,76,29,47,0,15,0,15,0,15,7,11
2003,Florida,Leon County,30.442249,-84.337254,657,143,0,15,0,15,5,7,0,15,0,15,0,15,37,59,8,12,0,15,16,29,0,15,0,15,46,54,23,20,5,8,45,36,69,37,243,93,138,114,5,8,17,27,0,15,0,15,0,15,0,15
2005,Florida,Leon County,30.445257,-84.31032,1397,249,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,23,25,25,41,77,79,57,55,0,15,27,43,92,74,94,74,114,100,257,102,193,124,170,115,261,122,7,13,0,15,0,15,0,15
2006,Florida,Leon County,30.43494,-84.30955,1933,374,0,15,0,15,0,15,0,15,0,15,0,15,36,60,0,15,13,19,16,25,42,39,144,127,122,104,53,46,30,50,134,103,542,404,517,173,100,75,124,92,0,15,0,15,60,90,0,15,0,15
2007,Florida,Leon County,30.435725,-84.322381,1581,309,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,19,32,108,161,13,21,78,77,127,122,256,154,41,52,341,159,77,88,151,108,106,83,129,123,135,108,0,15,0,15,0,15,38,49
